INVOICE_DATE,INVOICE_NUMBER,RETAILER_CODE,HIERARCHY_CATEGORY,HIERARCHY_BRAND,HIERARCHY_REGIONAL_BRAND,PRODUCT_CODE,GROSS_AMOUNT
2025-06-02,IN15890326003063,Out-379215,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-05-31,IN15890326003031,Out-378959,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-02,IN15890326003062,Out-379073,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-05-31,IN15890326003033,Out-379242,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-03,IN15890326003078,Out-379375,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-04,IN15890326003182,Out-378881,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-05-31,IN15890326003032,Out-378860,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-04,IN15890326003184,Out-379177,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-05-22,IN15890326002531,Out-378938,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-02,IN15890326003066,Out-379019,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-02,IN15890326003068,Out-378843,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-03,IN15890326003080,Out-379059,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-05-31,IN15890326003029,Out-379085,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-04,IN15890326003179,Out-379003,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-05-31,IN15890326003030,Out-379405,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-04,IN15890326003181,Out-379155,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-05-31,IN15890326003036,Out-378964,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-04,IN15890326003185,Out-378919,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-03,IN15890326A00046,Out-379370,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-04,IN15890326003180,Out-379143,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-04,IN15890326003177,Out-379207,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-05-31,IN15890326003034,Out-378868,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-02,IN15890326003065,Out-379288,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-02,IN15890326003064,Out-379075,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-04,IN15890326003178,Out-378886,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-04,IN15890326003183,Out-379289,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-03,IN15890326A00045,Out-379024,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-03,IN15890326003075,Out-379241,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-02,IN15890326003060,Out-379351,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-03,IN15890326003079,Out-379169,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-03,IN15890326003076,Out-379052,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-03,IN15890326003074,Out-379185,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-02,IN15890326003061,Out-378925,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-05-31,IN15890326003035,Out-378900,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-05-31,IN15890326003037,Out-379198,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-02,IN15890326003067,Out-378940,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-03,IN15890326003081,Out-379112,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-06-02,IN15890326003069,Out-379250,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,61.600000
2025-06-03,IN15890326003071,Out-379256,Ready to eat,Soulfull,Soulfull Ragi Bites Choco (Snack),14000000012925,184.800000
2025-05-16,IN17747926000985,Out-399966,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-05-10,IN17747926000854,Out-399926,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-05-17,IN17747926001002,Out-399812,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,3322.800000
2025-05-12,IN17747926000865,Out-400324,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,184.600000
2025-05-10,IN17747926000851,Out-400021,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,16614.000000
2025-05-14,IN17747926000929,Out-400023,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,461.500000
2025-05-14,IN17747926000912,Out-399803,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,4984.200000
2025-05-19,IN17747926001025,Out-400324,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,184.600000
2025-05-13,IN17747926000900,Out-400200,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-05-14,IN17747926000915,Out-400079,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-06-02,IN15890326003063,Out-379215,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-05-31,IN15890326003036,Out-378964,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003067,Out-378940,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-05-31,IN15890326003037,Out-379198,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003060,Out-379351,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-05-31,IN15890326003035,Out-378900,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003061,Out-378925,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003064,Out-379075,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003069,Out-379250,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003066,Out-379019,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003062,Out-379073,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-03,IN15890326A00045,Out-379024,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003065,Out-379288,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-03,IN15890326A00046,Out-379370,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-02,IN15890326003068,Out-378843,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-03,IN15890326003075,Out-379241,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000007246,123.200000
2025-06-26,IN14077626A00661,Out-212326,Captain,Chings Secret,Chings Noodles,14000000014490,122.900000
2025-06-25,IN14077626005512,Out-211930,Captain,Chings Secret,Chings Noodles,14000000014490,122.900000
2025-06-25,IN14077626005526,Out-211279,Captain,Chings Secret,Chings Noodles,14000000014490,122.900000
2025-06-25,IN14077626005542,Out-211205,Captain,Chings Secret,Chings Noodles,14000000014490,36.870000
2025-06-26,IN14077626A00666,Out-211632,Captain,Chings Secret,Chings Noodles,14000000014490,122.900000
2025-06-25,IN14077626005525,Out-211417,Captain,Chings Secret,Chings Noodles,14000000014490,147.480000
2025-06-28,IN14077626005768,Out-212492,Captain,Chings Secret,Chings Noodles,14000000014490,73.740000
2025-06-25,IN14077626005513,Out-212645,Captain,Chings Secret,Chings Noodles,14000000014490,147.480000
2025-06-30,IN14077626005912,Out-210646,Captain,Chings Secret,Chings Noodles,14000000014490,147.480000
2025-06-27,IN14077626A00696,Out-210468,Captain,Chings Secret,Chings Noodles,14000000014490,122.900000
2025-06-18,IN17747926A00089,Out-399758,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,116.610000
2025-06-16,IN17747926A00075,Out-399971,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,466.440000
2025-06-02,IN17747926A00002,Out-400159,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,116.610000
2025-05-26,IN17747926001186,Out-4174515,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,1788.020000
2025-06-10,IN17747926001548,Out-4174515,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,932.880000
2025-06-10,SR17747926000016,Out-399803,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,-388.700000
2025-06-17,IN17747926001747,Out-400281,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,116.610000
2025-05-23,IN17747926001175,Out-399876,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,77.740000
2025-05-28,IN17747926001231,Out-399803,Captain,Chings Secret,Chings Chinese Sauce,14000000007963,388.700000
2025-04-26,IN14878726000371,Out-213314,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,54.170000
2025-04-30,IN14878726000663,Out-213289,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,325.020000
2025-04-30,IN14878726000648,Out-213393,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,54.170000
2025-04-30,IN14878726000664,Out-213238,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,325.020000
2025-04-26,IN14878726000370,Out-213213,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,54.170000
2025-04-30,IN14878726000651,Out-213282,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,54.170000
2025-04-29,IN14878726000638,Out-213377,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,54.170000
2025-04-03,IN14878726000082,Out-213255,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,866.720000
2025-04-26,IN14878726000372,Out-213418,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,54.170000
2025-04-26,IN14878726000366,Out-213353,Packaged Foods,Tata Salt,TS Rock Salt,15000000000795,54.170000
2025-04-10,IN15890326000421,Out-379275,Ready to eat,Soulfull,Ragi Bites Cream Wafer,14000000009410,756.600000
2025-04-21,IN15890326000943,Out-379285,Ready to eat,Soulfull,Ragi Bites Cream Wafer,14000000009410,189.150000
2025-04-21,IN15890326000944,Out-379124,Ready to eat,Soulfull,Ragi Bites Cream Wafer,14000000009410,113.490000
2025-04-10,IN15890326000421,Out-379275,Ready to eat,Soulfull,Ragi Bites Cream Wafer,14000000009410,0.000000
2025-05-29,IN17747926001238,Out-400221,Organic India,Organic India,Organic India-Healthy Food,14000000008309,360.000000
2025-05-29,IN17747926001240,Out-400000,Organic India,Organic India,Organic India-Healthy Food,14000000008309,360.000000
2025-05-29,IN17747926001239,Out-399999,Organic India,Organic India,Organic India-Healthy Food,14000000008309,360.000000
2025-05-29,IN17747926001241,Out-399688,Organic India,Organic India,Organic India-Healthy Food,14000000008309,360.000000
2025-04-11,IN14878726000152,Out-213484,Packaged Beverages,Tata Tea,Chakra Gold,14000000009461,20774.400000
2025-06-28,IN14878726001816,Out-213177,Packaged Beverages,Tata Tea,Chakra Gold,14000000009461,62323.200000
2025-04-22,IN14077626001189,Out-212168,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000008110,111.240000
2025-06-13,IN14077626004714,Out-212181,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000008110,74.160000
2025-06-07,IN14077626004288,Out-212927,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000008110,37.080000
2025-05-10,IN14077626002302,Out-4520895,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000008110,185.400000
2025-06-27,IN14077626005627,Out-212190,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000008110,74.160000
2025-06-26,IN14077626A00665,Out-1088208,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000008110,148.320000
2025-06-19,IN14077626A00517,Out-1088208,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000008110,74.160000
2025-06-16,IN14077626004889,Out-212606,Ready to eat,Soulfull,Soulfull Ragi Bites Fills (Snack),14000000008110,74.160000
2025-04-21,IN17747926000269,Out-400247,Packaged Beverages,Tetley,Tetley Green,14000000003291,150.860000
2025-04-07,IN17747926000084,Out-400327,Packaged Beverages,Tetley,Tetley Green,14000000003291,5430.960000
2025-04-19,IN17747926000251,Out-400279,Packaged Beverages,Tetley,Tetley Green,14000000003291,301.720000
2025-04-11,IN17747926000123,Out-400327,Packaged Beverages,Tetley,Tetley Green,14000000003291,5430.960000
2025-04-22,IN14077626001147,Out-211357,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,369.200000
2025-04-30,IN14077626001655,Out-210920,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,24736.400000
2025-04-22,IN14077626001196,Out-212208,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,184.600000
2025-04-26,IN14077626001494,Out-211874,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-16,IN14077626000818,Out-212167,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,830.700000
2025-04-29,IN14077626001599,Out-212530,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-29,IN14077626001630,Out-213023,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,923.000000
2025-04-17,IN14077626000832,Out-211934,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-23,IN14077626001255,Out-211628,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-22,IN14077626001086,Out-211993,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-23,IN14077626001267,Out-212906,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-23,IN14077626001315,Out-213067,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,184.600000
2025-04-22,IN14077626001151,Out-210914,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-25,IN14077626001436,Out-211955,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-22,IN14077626001200,Out-212168,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-18,IN14077626000838,Out-212955,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-26,IN14077626001506,Out-211495,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-16,IN14077626000792,Out-212905,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-29,IN14077626001631,Out-210517,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-18,IN14077626000908,Out-210900,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,184.600000
2025-04-18,IN14077626000846,Out-211563,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-23,IN14077626001282,Out-212537,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-28,IN14077626001570,Out-211099,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,369.200000
2025-04-23,IN14077626001295,Out-211607,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-26,IN14077626001539,Out-1086592,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-17,IN14077626000829,Out-212659,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,3322.800000
2025-04-28,IN14077626001584,Out-211342,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-22,IN14077626001150,Out-210914,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-18,IN14077626000909,Out-210918,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-26,IN14077626001482,Out-211777,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-21,IN14077626001029,Out-210926,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,3322.800000
2025-04-19,IN14077626000991,Out-212461,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-22,IN14077626001225,Out-213023,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,923.000000
2025-04-21,IN14077626001047,Out-212610,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-23,IN14077626001307,Out-213082,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,3322.800000
2025-04-23,IN14077626001304,Out-212052,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,184.600000
2025-04-29,IN14077626001616,Out-211549,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,3322.800000
2025-04-26,IN14077626001487,Out-210700,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,184.600000
2025-04-24,IN14077626001374,Out-1315927,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-19,IN14077626000990,Out-212576,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-24,IN14077626001378,Out-211725,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-21,IN14077626001070,Out-212162,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-16,IN14077626000813,Out-211853,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-23,IN14077626001293,Out-210738,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,4984.200000
2025-04-23,IN14077626001272,Out-211207,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,923.000000
2025-04-24,IN14077626001388,Out-211065,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-29,IN14077626001638,Out-211732,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-17,IN14077626000826,Out-211991,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-25,IN14077626001438,Out-218445,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,923.000000
2025-04-23,IN14077626001316,Out-211399,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,923.000000
2025-04-21,IN14077626001046,Out-212763,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-21,IN14077626001061,Out-211781,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-19,IN14077626000995,Out-210609,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-23,IN14077626001339,Out-212021,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-26,IN14077626001531,Out-212542,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-29,IN14077626001607,Out-213035,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-26,IN14077626001499,Out-211365,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,3322.800000
2025-04-29,IN14077626001614,Out-212204,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-24,IN14077626001369,Out-211563,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-25,IN14077626001458,Out-211510,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-19,IN14077626000993,Out-210815,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,923.000000
2025-04-26,IN14077626001549,Out-212937,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-24,IN14077626001392,Out-210918,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,369.200000
2025-04-18,IN14077626000902,Out-211065,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-16,IN14077626000820,Out-211351,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-23,IN14077626001257,Out-211392,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-16,IN14077626000793,Out-212871,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,461.500000
2025-04-21,IN14077626001068,Out-210803,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1661.400000
2025-04-01,IN14878726000033,Out-732903,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000035,Out-732887,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000026,Out-734262,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000028,Out-732944,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000021,Out-734887,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000032,Out-732911,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000019,Out-735478,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000018,Out-735508,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000034,Out-732897,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000029,Out-732943,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000020,Out-735031,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000024,Out-734319,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000022,Out-734872,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000030,Out-732926,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000031,Out-732924,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000023,Out-734359,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000027,Out-734259,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-01,IN14878726000025,Out-734268,Packaged Beverages,Tata Tea,Chakra Gold,14000000008130,332.000000
2025-04-14,IN14077626000621,Out-212362,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-21,IN14077626001079,Out-210646,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-14,IN14077626000661,Out-248034,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-12,IN14077626000556,Out-212392,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-14,IN14077626000668,Out-211931,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,553.800000
2025-04-14,IN14077626000690,Out-211342,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-14,IN14077626000662,Out-212505,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,276.900000
2025-04-05,IN14077626000171,Out-210705,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,49842.000000
2025-04-15,IN14077626000722,Out-211549,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-14,IN14077626000626,Out-211774,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-14,IN14077626000587,Out-212542,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-15,IN14077626000710,Out-211392,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,2215.200000
2025-04-14,IN14077626000669,Out-210600,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-15,IN14077626000708,Out-1088223,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-15,IN14077626000723,Out-211647,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,1107.600000
2025-04-14,IN14077626000631,Out-211704,Packaged Foods,Tata Salt,TS Rock Salt,14000000012629,92.300000
